,2020-03-31,2019-03-31,2018-03-31,2017-03-31
Capital Surplus,489334000000.0,487162000000.0,487502000000.0,484013000000.0
Total Liab,31942754000000.0,31869812000000.0,30878147000000.0,30567110000000.0
Total Stockholder Equity,20060618000000.0,19348152000000.0,18735982000000.0,17514812000000.0
Minority Interest,677064000000.0,718985000000.0,694120000000.0,668264000000.0
Other Current Liab,4102642000000.0,4479344000000.0,4399669000000.0,3979935000000.0
Total Assets,52680436000000.0,51936949000000.0,50308249000000.0,48750186000000.0
Common Stock,397050000000.0,397050000000.0,397050000000.0,397050000000.0
Other Current Assets,246988000000.0,142531000000.0,202292000000.0,12357000000.0
Retained Earnings,23427613000000.0,21987515000000.0,19473464000000.0,17601070000000.0
Other Liab,2746823000000.0,2887743000000.0,2902003000000.0,3163780000000.0
Treasury Stock,-4253379000000.0,-3523575000000.0,-1622034000000.0,-967321000000.0
Other Assets,890514000000.0,1182809000000.0,1067759000000.0,1012639000000.0
Cash,2774498000000.0,2790212000000.0,2390524000000.0,2257064000000.0
Total Current Liabilities,17902377000000.0,18226938000000.0,17796891000000.0,17318965000000.0
Deferred Long Term Asset Charges,354785000000.0,501872000000.0,494120000000.0,503985000000.0
Short Long Term Debt,141871000000.0,156038000000.0,167455000000.0,228599000000.0
Other Stockholder Equity,-1166273000000.0,-916650000000.0,435699000000.0,640922000000.0
Property Plant Equipment,6571110000000.0,6178503000000.0,5901958000000.0,5700818000000.0
Total Current Assets,18642531000000.0,18879237000000.0,18152656000000.0,17833695000000.0
Long Term Investments,11844890000000.0,10908291000000.0,11338543000000.0,10694521000000.0
Net Tangible Assets,20060618000000.0,19348152000000.0,18735982000000.0,17514812000000.0
Short Term Investments,1477202000000.0,2234892000000.0,2447703000000.0,2522598000000.0
Net Receivables,2659748000000.0,2940890000000.0,2708900000000.0,2552805000000.0
Long Term Debt,1029678000000.0,765586000000.0,591086000000.0,578475000000.0
Inventory,2434918000000.0,2656396000000.0,2539789000000.0,2388617000000.0
Accounts Payable,2434180000000.0,2645984000000.0,2586657000000.0,2566382000000.0
